Pulse_time,I_e,Tau_Syn_Ex,Result
500,0,1.0,0.0
500,0,11.0,0.0
500,0,13.5,0.0
500,0,23.5,0.0
500,0,26.0,0.0
500,0,36.0,0.0
500,0,38.5,0.0
500,0,48.5,0.0
500,0,51.0,0.0
500,0,61.0,0.0
500,0,63.5,0.0
500,0,73.5,0.0
500,0,76.0,0.0
500,0,86.0,0.0
500,0,88.5,0.0
500,0,98.5,0.0
500,1,1.0,0.0
500,1,11.0,0.0
500,1,13.5,0.0
500,1,23.5,0.0
500,1,26.0,0.0
500,1,36.0,0.0
500,1,38.5,0.0
500,1,48.5,0.0
500,1,51.0,0.0
500,1,61.0,0.0
500,1,63.5,0.0
500,1,73.5,0.0
500,1,76.0,0.0
500,1,86.0,0.0
500,1,88.5,0.0
500,1,98.5,0.0
500,2,1.0,0.0
500,2,11.0,0.0
500,2,13.5,0.0
500,2,23.5,0.0
500,2,26.0,0.0
500,2,36.0,0.0
500,2,38.5,0.0
500,2,48.5,0.0
500,2,51.0,0.0
500,2,61.0,0.0
500,2,63.5,0.0
500,2,73.5,0.0
500,2,76.0,0.0
500,2,86.0,0.0
500,2,88.5,0.0
500,2,98.5,0.0
500,3,1.0,0.0
500,3,11.0,0.0
500,3,13.5,0.0
500,3,23.5,0.0
500,3,26.0,0.0
500,3,36.0,0.0
500,3,38.5,0.0
500,3,48.5,0.0
500,3,51.0,0.0
500,3,61.0,0.0
500,3,63.5,0.0
500,3,73.5,0.0
500,3,76.0,0.0
500,3,86.0,0.0
500,3,88.5,0.0
500,3,98.5,0.0
500,4,1.0,0.0
500,4,11.0,0.0
500,4,13.5,0.0
500,4,23.5,0.0
500,4,26.0,0.0
500,4,36.0,0.0
500,4,38.5,0.0
500,4,48.5,0.0
500,4,51.0,0.0
500,4,61.0,0.0
500,4,63.5,0.0
500,4,73.5,0.0
500,4,76.0,0.0
500,4,86.0,0.0
500,4,88.5,0.0
500,4,98.5,0.0
500,5,1.0,0.0
500,5,11.0,0.0
500,5,13.5,0.0
500,5,23.5,0.0
500,5,26.0,0.0
500,5,36.0,0.0
500,5,38.5,0.0
500,5,48.5,0.0
500,5,51.0,0.0
500,5,61.0,0.0
500,5,63.5,0.0
500,5,73.5,0.0
500,5,76.0,0.0
500,5,86.0,0.0
500,5,88.5,0.0
500,5,98.5,0.0
500,6,1.0,0.0
500,6,11.0,0.0
500,6,13.5,0.0
500,6,23.5,0.0
500,6,26.0,0.0
500,6,36.0,0.0
500,6,38.5,0.0
500,6,48.5,0.0
500,6,51.0,0.0
500,6,61.0,0.0
500,6,63.5,0.0
500,6,73.5,0.0
500,6,76.0,0.0
500,6,86.0,0.0
500,6,88.5,0.0
500,6,98.5,0.0
500,7,1.0,0.0
500,7,11.0,0.0
500,7,13.5,0.0
500,7,23.5,0.0
500,7,26.0,0.0
500,7,36.0,0.0
500,7,38.5,0.0
500,7,48.5,0.0
500,7,51.0,0.0
500,7,61.0,0.0
500,7,63.5,0.0
500,7,73.5,0.0
500,7,76.0,0.0
500,7,86.0,0.0
500,7,88.5,0.0
500,7,98.5,0.0
500,8,1.0,0.0
500,8,11.0,0.0
500,8,13.5,0.0
500,8,23.5,0.0
500,8,26.0,0.0
500,8,36.0,0.0
500,8,38.5,0.0
500,8,48.5,0.0
500,8,51.0,0.0
500,8,61.0,0.0
500,8,63.5,0.0
500,8,73.5,0.0
500,8,76.0,0.0
500,8,86.0,0.0
500,8,88.5,0.0
500,8,98.5,0.0
500,9,1.0,0.0
500,9,11.0,0.0
500,9,13.5,0.0
500,9,23.5,0.0
500,9,26.0,0.0
500,9,36.0,0.0
500,9,38.5,0.0
500,9,48.5,0.0
500,9,51.0,0.0
500,9,61.0,0.0
500,9,63.5,0.0
500,9,73.5,0.0
500,9,76.0,0.0
500,9,86.0,0.0
500,9,88.5,0.0
500,9,98.5,9.0
510,0,1.0,0.0
510,0,11.0,0.0
510,0,13.5,0.0
510,0,23.5,0.0
510,0,26.0,0.0
510,0,36.0,0.0
510,0,38.5,0.0
510,0,48.5,0.0
510,0,51.0,0.0
510,0,61.0,0.0
510,0,63.5,0.0
510,0,73.5,0.0
510,0,76.0,0.0
510,0,86.0,0.0
510,0,88.5,0.0
510,0,98.5,0.0
510,1,1.0,0.0
510,1,11.0,0.0
510,1,13.5,0.0
510,1,23.5,0.0
510,1,26.0,0.0
510,1,36.0,0.0
510,1,38.5,0.0
510,1,48.5,0.0
510,1,51.0,0.0
510,1,61.0,0.0
510,1,63.5,0.0
510,1,73.5,0.0
510,1,76.0,0.0
510,1,86.0,0.0
510,1,88.5,0.0
510,1,98.5,0.0
510,2,1.0,0.0
510,2,11.0,0.0
510,2,13.5,0.0
510,2,23.5,0.0
510,2,26.0,0.0
510,2,36.0,0.0
510,2,38.5,0.0
510,2,48.5,0.0
510,2,51.0,0.0
510,2,61.0,0.0
510,2,63.5,0.0
510,2,73.5,0.0
510,2,76.0,0.0
510,2,86.0,0.0
510,2,88.5,0.0
510,2,98.5,0.0
510,3,1.0,0.0
510,3,11.0,0.0
510,3,13.5,0.0
510,3,23.5,0.0
510,3,26.0,0.0
510,3,36.0,0.0
510,3,38.5,0.0
510,3,48.5,0.0
510,3,51.0,0.0
510,3,61.0,0.0
510,3,63.5,0.0
510,3,73.5,0.0
510,3,76.0,0.0
510,3,86.0,0.0
510,3,88.5,0.0
510,3,98.5,0.0
510,4,1.0,0.0
510,4,11.0,0.0
510,4,13.5,0.0
510,4,23.5,0.0
510,4,26.0,0.0
510,4,36.0,0.0
510,4,38.5,0.0
510,4,48.5,0.0
510,4,51.0,0.0
510,4,61.0,0.0
510,4,63.5,0.0
510,4,73.5,0.0
510,4,76.0,0.0
510,4,86.0,0.0
510,4,88.5,0.0
510,4,98.5,0.0
510,5,1.0,0.0
510,5,11.0,0.0
510,5,13.5,0.0
510,5,23.5,0.0
510,5,26.0,0.0
510,5,36.0,0.0
510,5,38.5,0.0
510,5,48.5,0.0
510,5,51.0,0.0
510,5,61.0,0.0
510,5,63.5,0.0
510,5,73.5,0.0
510,5,76.0,0.0
510,5,86.0,0.0
510,5,88.5,0.0
510,5,98.5,2.0
510,6,1.0,0.0
