Pulse_time,I_e,Tau_Syn_Ex,Result
500,0,1.25,0.0
500,0,2.25,0.0
500,0,2.5,0.0
500,0,3.5,0.0
500,0,3.75,0.0
500,0,4.75,0.0
500,0,5.0,0.0
500,0,6.0,0.0
500,0,6.25,0.0
500,0,7.25,0.0
500,0,7.5,0.0
500,0,8.5,0.0
500,0,8.75,0.0
500,0,9.75,0.0
500,1,1.25,0.0
500,1,2.25,0.0
500,1,2.5,0.0
500,1,3.5,0.0
500,1,3.75,0.0
500,1,4.75,0.0
500,1,5.0,0.0
500,1,6.0,0.0
500,1,6.25,0.0
500,1,7.25,0.0
500,1,7.5,0.0
500,1,8.5,0.0
500,1,8.75,0.0
500,1,9.75,0.0
505,0,1.25,0.0
505,0,2.25,0.0
505,0,2.5,0.0
505,0,3.5,0.0
505,0,3.75,0.0
505,0,4.75,0.0
505,0,5.0,0.0
505,0,6.0,0.0
505,0,6.25,0.0
505,0,7.25,0.0
505,0,7.5,0.0
505,0,8.5,0.0
505,0,8.75,0.0
505,0,9.75,0.0
505,1,1.25,0.0
505,1,2.25,0.0
505,1,2.5,0.0
505,1,3.5,0.0
505,1,3.75,0.0
505,1,4.75,0.0
505,1,5.0,0.0
505,1,6.0,0.0
505,1,6.25,0.0
505,1,7.25,0.0
505,1,7.5,0.0
505,1,8.5,0.0
505,1,8.75,0.0
505,1,9.75,0.0
