Pulse_time,I_e,Tau_Syn_Ex,Result
600,8,90.0,-0.7066953453440108
600,8,91.0,-0.7076696844604291
600,8,91.25,-0.7078404986188823
600,8,92.25,-0.7085088904788404
600,8,92.5,-0.7086941553454622
600,8,93.5,-0.7092203580995348
600,8,93.75,-0.7094840260231885
600,8,94.75,-0.7100277670380655
600,8,95.0,-0.7102289191538684
600,8,96.0,-0.7108915054667788
600,8,96.25,-0.7110788141974119
600,8,97.25,-0.7117778068911306
600,8,97.5,-0.7119715113640331
600,8,98.5,-0.712618653661935
600,8,98.75,-0.7127387315238775
600,8,99.75,-0.7132255177148419
600,9,90.0,-0.7077318218049774
600,9,91.0,-0.7086092715231788
600,9,91.25,-0.7087764197149539
600,9,92.25,-0.7093637708729655
600,9,92.5,-0.7095070422535211
600,9,93.5,-0.7101143730564486
600,9,93.75,-0.7102543615498758
600,9,94.75,-0.7109142992299808
600,9,95.0,-0.7110914614394649
600,9,96.0,-0.7117752895348228
600,9,96.25,-0.7119513983450299
600,9,97.25,-0.7126987167209347
600,9,97.5,-0.7128562105721122
600,9,98.5,-0.7134098152795991
600,9,98.75,-0.7135317198513837
600,9,99.75,-0.7140554732381917
605,8,90.0,-0.7088432253112289
605,8,91.0,-0.7097038099175734
605,8,91.25,-0.7098671543242981
605,8,92.25,-0.7104247104247104
605,8,92.5,-0.7105237765243555
605,8,93.5,-0.711114223685132
605,8,93.75,-0.711288615147724
605,8,94.75,-0.7118004611192622
605,8,95.0,-0.7119187086974361
605,8,96.0,-0.7126086426419104
605,8,96.25,-0.712806231234498
605,8,97.25,-0.7134794877360539
605,8,97.5,-0.7136535207601198
605,8,98.5,-0.7141793048494245
605,8,98.75,-0.7142758190759854
605,8,99.75,-0.7147722067123607
605,9,90.0,-0.7098365412515717
605,9,91.0,-0.7105745533639131
605,9,91.25,-0.7107293127629734
605,9,92.25,-0.711215345841501
605,9,92.5,-0.711339124045451
605,9,93.5,-0.7119161938018332
605,9,93.75,-0.7120443975183463
605,9,94.75,-0.7126311664562198
605,9,95.0,-0.7127962332790837
605,9,96.0,-0.713469536602096
605,9,96.25,-0.7136386119282535
605,9,97.25,-0.7143475438216836
605,9,97.5,-0.7144390024402485
605,9,98.5,-0.7149545222896926
605,9,98.75,-0.7150898761936008
605,9,99.75,-0.7155834417851017
