I_e,Tau_Syn_Ex,Result
0,1.0,0.0
0,1.1,0.0
0,1.2000000000000002,0.0
0,1.3000000000000003,0.0
0,1.4000000000000004,0.0
0,1.5000000000000004,0.0
0,1.6000000000000005,0.0
0,1.7000000000000006,0.0
0,1.8000000000000007,0.0
0,1.9000000000000008,0.0
0,2.000000000000001,0.0
0,2.100000000000001,0.0
0,2.200000000000001,0.0
0,2.300000000000001,0.0
0,2.4000000000000012,0.0
0,2.5000000000000013,0.0
0,2.6000000000000014,0.0
0,2.7000000000000015,0.0
0,2.8000000000000016,0.0
0,2.9000000000000017,0.0
0,3.0000000000000018,0.0
0,3.100000000000002,0.0
0,3.200000000000002,0.0
0,3.300000000000002,0.0
0,3.400000000000002,0.0
0,3.500000000000002,0.0
0,3.6000000000000023,0.0
0,3.7000000000000024,0.0
0,3.8000000000000025,0.0
0,3.9000000000000026,0.0
0,4.000000000000003,0.0
0,4.100000000000003,0.0
0,4.200000000000003,0.0
0,4.3000000000000025,0.0
0,4.400000000000003,0.0
0,4.5000000000000036,0.0
0,4.600000000000003,0.0
0,4.700000000000003,0.0
0,4.800000000000003,0.0
0,4.900000000000004,0.0
0,5.0000000000000036,0.0
0,5.100000000000003,0.0
0,5.200000000000004,0.0
0,5.300000000000004,0.0
0,5.400000000000004,0.0
0,5.5000000000000036,0.0
0,5.600000000000004,0.0
0,5.700000000000005,0.0
0,5.800000000000004,0.0
0,5.900000000000004,0.0
0,6.000000000000004,0.0
0,6.100000000000005,0.0
0,6.200000000000005,26.347237880496053
0,6.300000000000004,34.03807106598985
0,6.400000000000005,33.99619771863118
0,6.500000000000005,53.88095238095238
0,6.600000000000005,41.88326300984529
0,6.700000000000005,42.549157303370784
0,6.800000000000005,39.5606258148631
0,6.900000000000006,38.49429657794677
0,7.000000000000005,16.77987421383648
0,7.100000000000005,16.4853470437018
0,7.2000000000000055,18.803287671232876
0,7.300000000000006,15.557406573615488
0,7.400000000000006,12.362432915921287
0,7.500000000000005,12.052319497732821
0,7.600000000000006,9.552214765100672
0,7.700000000000006,8.251443084737936
0,7.800000000000006,7.98034836980795
0,7.900000000000006,7.816491688538933
0,8.000000000000007,7.623086734693878
0,8.100000000000007,7.001357904946654
0,8.200000000000006,6.583546151039767
0,8.300000000000006,6.486700215672179
0,8.400000000000006,6.407243032132079
0,8.500000000000007,6.310893512851897
0,8.600000000000007,6.132554257095158
0,8.700000000000006,5.246190080354669
0,8.800000000000008,5.172380822292037
0,8.900000000000007,4.956735751295337
0,9.000000000000007,3.89447701326751
0,9.100000000000007,3.658550724637681
0,9.200000000000006,3.510427903631787
0,9.300000000000008,3.9236372770660637
0,9.400000000000007,3.896233474681966
0,9.500000000000007,3.8695932220185303
0,9.600000000000009,3.104873976305955
0,9.700000000000008,2.993713584789942
0,9.800000000000008,2.93807839891656
0,9.900000000000007,2.9191896538835316
1,1.0,0.0
1,1.1,0.0
1,1.2000000000000002,0.0
1,1.3000000000000003,0.0
1,1.4000000000000004,0.0
1,1.5000000000000004,0.0
1,1.6000000000000005,0.0
1,1.7000000000000006,0.0
1,1.8000000000000007,0.0
1,1.9000000000000008,0.0
1,2.000000000000001,0.0
1,2.100000000000001,0.0
1,2.200000000000001,0.0
1,2.300000000000001,0.0
1,2.4000000000000012,0.0
1,2.5000000000000013,0.0
1,2.6000000000000014,0.0
1,2.7000000000000015,0.0
1,2.8000000000000016,0.0
1,2.9000000000000017,0.0
1,3.0000000000000018,0.0
1,3.100000000000002,0.0
1,3.200000000000002,0.0
1,3.300000000000002,0.0
1,3.400000000000002,0.0
1,3.500000000000002,0.0
1,3.6000000000000023,0.0
1,3.7000000000000024,0.0
1,3.8000000000000025,0.0
1,3.9000000000000026,0.0
1,4.000000000000003,0.0
1,4.100000000000003,0.0
1,4.200000000000003,0.0
1,4.3000000000000025,0.0
1,4.400000000000003,0.0
1,4.5000000000000036,0.0
1,4.600000000000003,0.0
1,4.700000000000003,0.0
1,4.800000000000003,0.0
1,4.900000000000004,0.0
1,5.0000000000000036,0.0
1,5.100000000000003,0.0
1,5.200000000000004,0.0
1,5.300000000000004,0.0
1,5.400000000000004,0.0
1,5.5000000000000036,0.0
