Pulse_time,I_e,Tau_Syn_Ex,Result
300,6,81.25,0.0
300,6,82.25,0.0
300,6,83.25,0.0
300,6,84.25,0.0
300,7,81.25,0.0
300,7,82.25,0.0
300,7,83.25,0.0
300,7,84.25,0.0
300,8,81.25,0.0
300,8,82.25,0.0
300,8,83.25,0.0
300,8,84.25,0.0
300,9,81.25,0.0
300,9,82.25,0.0
300,9,83.25,0.0
300,9,84.25,0.0
305,6,81.25,0.0
305,6,82.25,0.0
305,6,83.25,0.0
305,6,84.25,0.0
305,7,81.25,0.0
305,7,82.25,0.0
305,7,83.25,0.0
305,7,84.25,0.0
305,8,81.25,0.0
305,8,82.25,0.0
305,8,83.25,0.0
305,8,84.25,0.0
305,9,81.25,0.0
305,9,82.25,0.0
305,9,83.25,0.0
305,9,84.25,0.0
310,6,81.25,0.0
310,6,82.25,0.0
310,6,83.25,0.0
310,6,84.25,0.0
310,7,81.25,0.0
310,7,82.25,0.0
310,7,83.25,0.0
310,7,84.25,0.0
310,8,81.25,0.0
310,8,82.25,0.0
310,8,83.25,0.0
310,8,84.25,0.0
310,9,81.25,0.0
310,9,82.25,0.0
310,9,83.25,0.0
310,9,84.25,0.0
315,6,81.25,0.0
315,6,82.25,0.0
315,6,83.25,0.0
315,6,84.25,0.0
315,7,81.25,0.0
315,7,82.25,0.0
315,7,83.25,0.0
315,7,84.25,0.0
315,8,81.25,0.0
315,8,82.25,0.0
315,8,83.25,0.0
315,8,84.25,0.0
315,9,81.25,0.0
315,9,82.25,0.0
315,9,83.25,0.0
315,9,84.25,0.0
320,6,81.25,0.0
320,6,82.25,0.0
320,6,83.25,0.0
320,6,84.25,0.0
320,7,81.25,0.0
320,7,82.25,0.0
320,7,83.25,0.0
320,7,84.25,0.0
320,8,81.25,0.0
320,8,82.25,0.0
320,8,83.25,0.0
320,8,84.25,0.0
320,9,81.25,0.0
320,9,82.25,0.0
320,9,83.25,0.0
320,9,84.25,0.0
325,6,81.25,0.0
325,6,82.25,0.0
325,6,83.25,0.0
325,6,84.25,0.0
325,7,81.25,0.0
325,7,82.25,0.0
325,7,83.25,0.0
325,7,84.25,0.0
325,8,81.25,0.0
325,8,82.25,0.0
325,8,83.25,0.0
325,8,84.25,0.0
325,9,81.25,0.0
325,9,82.25,0.0
325,9,83.25,0.0
325,9,84.25,0.0
330,6,81.25,0.0
330,6,82.25,0.0
330,6,83.25,0.0
330,6,84.25,0.0
330,7,81.25,0.0
330,7,82.25,0.0
330,7,83.25,0.0
330,7,84.25,0.0
330,8,81.25,0.0
330,8,82.25,0.0
330,8,83.25,0.0
330,8,84.25,0.0
330,9,81.25,0.0
330,9,82.25,0.0
330,9,83.25,0.0
330,9,84.25,0.0
335,6,81.25,0.0
335,6,82.25,0.0
335,6,83.25,0.0
335,6,84.25,0.0
335,7,81.25,0.0
335,7,82.25,0.0
335,7,83.25,0.0
335,7,84.25,0.0
335,8,81.25,0.0
335,8,82.25,0.0
335,8,83.25,0.0
335,8,84.25,0.0
335,9,81.25,0.0
335,9,82.25,0.0
335,9,83.25,0.0
335,9,84.25,0.0
340,6,81.25,0.0
340,6,82.25,0.0
340,6,83.25,0.0
340,6,84.25,0.0
340,7,81.25,0.0
340,7,82.25,0.0
340,7,83.25,0.0
340,7,84.25,0.0
340,8,81.25,0.0
340,8,82.25,0.0
340,8,83.25,0.0
340,8,84.25,0.0
340,9,81.25,0.0
340,9,82.25,0.0
340,9,83.25,0.0
340,9,84.25,0.0
345,6,81.25,0.0
345,6,82.25,0.0
345,6,83.25,0.0
345,6,84.25,0.0
345,7,81.25,0.0
345,7,82.25,0.0
345,7,83.25,0.0
345,7,84.25,0.0
345,8,81.25,0.0
345,8,82.25,0.0
345,8,83.25,0.0
345,8,84.25,0.0
345,9,81.25,0.0
345,9,82.25,0.0
345,9,83.25,0.0
345,9,84.25,0.0
350,6,81.25,0.0
350,6,82.25,0.0
350,6,83.25,0.0
350,6,84.25,0.0
350,7,81.25,0.0
350,7,82.25,0.0
350,7,83.25,0.0
350,7,84.25,0.0
350,8,81.25,0.0
350,8,82.25,0.0
350,8,83.25,0.0
350,8,84.25,0.0
350,9,81.25,0.0
350,9,82.25,0.0
350,9,83.25,0.0
350,9,84.25,0.0
355,6,81.25,0.0
355,6,82.25,0.0
355,6,83.25,0.0
355,6,84.25,0.0
355,7,81.25,0.0
355,7,82.25,0.0
355,7,83.25,0.0
355,7,84.25,0.0
355,8,81.25,0.0
355,8,82.25,0.0
355,8,83.25,0.0
355,8,84.25,0.0
355,9,81.25,0.0
355,9,82.25,0.0
355,9,83.25,0.0
355,9,84.25,0.0
360,6,81.25,0.0
360,6,82.25,0.0
360,6,83.25,0.0
360,6,84.25,0.0
360,7,81.25,0.0
360,7,82.25,0.0
360,7,83.25,0.0
360,7,84.25,0.0
360,8,81.25,0.0
360,8,82.25,0.0
360,8,83.25,0.0
360,8,84.25,0.0
360,9,81.25,0.0
360,9,82.25,0.0
360,9,83.25,0.0
360,9,84.25,0.0
365,6,81.25,0.0
365,6,82.25,0.0
365,6,83.25,0.0
365,6,84.25,0.0
365,7,81.25,0.0
365,7,82.25,0.0
365,7,83.25,0.0
365,7,84.25,0.0
365,8,81.25,0.0
365,8,82.25,0.0
365,8,83.25,0.0
365,8,84.25,0.0
365,9,81.25,0.0
365,9,82.25,0.0
365,9,83.25,0.0
365,9,84.25,0.0
370,6,81.25,0.0
370,6,82.25,0.0
370,6,83.25,0.0
370,6,84.25,0.0
370,7,81.25,0.0
370,7,82.25,0.0
370,7,83.25,0.0
370,7,84.25,0.0
370,8,81.25,0.0
370,8,82.25,0.0
370,8,83.25,0.0
370,8,84.25,0.0
370,9,81.25,0.0
370,9,82.25,0.0
370,9,83.25,0.0
370,9,84.25,0.0
375,6,81.25,0.0
375,6,82.25,0.0
375,6,83.25,0.0
375,6,84.25,0.0
375,7,81.25,0.0
375,7,82.25,0.0
375,7,83.25,0.0
375,7,84.25,0.0
375,8,81.25,0.0
375,8,82.25,0.0
375,8,83.25,0.0
375,8,84.25,0.0
375,9,81.25,0.0
375,9,82.25,0.0
375,9,83.25,0.0
375,9,84.25,0.0
380,6,81.25,0.0
380,6,82.25,0.0
380,6,83.25,0.0
380,6,84.25,0.0
380,7,81.25,0.0
380,7,82.25,0.0
380,7,83.25,0.0
380,7,84.25,0.0
380,8,81.25,0.0
380,8,82.25,0.0
380,8,83.25,0.0
380,8,84.25,0.0
380,9,81.25,0.0
380,9,82.25,0.0
380,9,83.25,0.0
380,9,84.25,0.0
385,6,81.25,0.0
385,6,82.25,0.0
385,6,83.25,0.0
385,6,84.25,0.0
385,7,81.25,0.0
385,7,82.25,0.0
385,7,83.25,0.0
385,7,84.25,0.0
385,8,81.25,0.0
385,8,82.25,0.0
385,8,83.25,0.0
385,8,84.25,0.0
385,9,81.25,0.0
385,9,82.25,0.0
385,9,83.25,0.0
385,9,84.25,0.0
390,6,81.25,0.0
390,6,82.25,0.0
390,6,83.25,0.0
390,6,84.25,0.0
390,7,81.25,0.0
390,7,82.25,0.0
390,7,83.25,0.0
390,7,84.25,0.0
390,8,81.25,0.0
390,8,82.25,0.0
390,8,83.25,0.0
390,8,84.25,0.0
390,9,81.25,0.0
390,9,82.25,0.0
390,9,83.25,0.0
390,9,84.25,0.0
395,6,81.25,0.0
395,6,82.25,0.0
395,6,83.25,0.0
395,6,84.25,0.0
