Pulse_time,I_e,Tau_Syn_Ex,Result
300,6,92.5,0.0
300,6,93.5,0.0
300,6,94.5,0.0
300,6,95.5,0.0
300,7,92.5,0.0
300,7,93.5,0.0
300,7,94.5,0.0
300,7,95.5,0.0
300,8,92.5,0.0
300,8,93.5,0.0
300,8,94.5,0.0
300,8,95.5,0.0
300,9,92.5,0.0
300,9,93.5,0.0
300,9,94.5,0.0
300,9,95.5,0.0
305,6,92.5,0.0
305,6,93.5,0.0
305,6,94.5,0.0
305,6,95.5,0.0
305,7,92.5,0.0
305,7,93.5,0.0
305,7,94.5,0.0
305,7,95.5,0.0
305,8,92.5,0.0
305,8,93.5,0.0
305,8,94.5,0.0
305,8,95.5,0.0
305,9,92.5,0.0
305,9,93.5,0.0
305,9,94.5,0.0
305,9,95.5,0.0
310,6,92.5,0.0
310,6,93.5,0.0
310,6,94.5,0.0
310,6,95.5,0.0
310,7,92.5,0.0
310,7,93.5,0.0
310,7,94.5,0.0
310,7,95.5,0.0
310,8,92.5,0.0
310,8,93.5,0.0
310,8,94.5,0.0
310,8,95.5,0.0
310,9,92.5,0.0
310,9,93.5,0.0
310,9,94.5,0.0
310,9,95.5,0.0
315,6,92.5,0.0
315,6,93.5,0.0
315,6,94.5,0.0
315,6,95.5,0.0
315,7,92.5,0.0
315,7,93.5,0.0
315,7,94.5,0.0
315,7,95.5,0.0
315,8,92.5,0.0
315,8,93.5,0.0
315,8,94.5,0.0
315,8,95.5,0.0
315,9,92.5,0.0
315,9,93.5,0.0
315,9,94.5,0.0
315,9,95.5,0.0
320,6,92.5,0.0
320,6,93.5,0.0
320,6,94.5,0.0
320,6,95.5,0.0
320,7,92.5,0.0
320,7,93.5,0.0
320,7,94.5,0.0
320,7,95.5,0.0
320,8,92.5,0.0
320,8,93.5,0.0
320,8,94.5,0.0
320,8,95.5,0.0
320,9,92.5,0.0
320,9,93.5,0.0
320,9,94.5,0.0
320,9,95.5,0.0
325,6,92.5,0.0
325,6,93.5,0.0
325,6,94.5,0.0
325,6,95.5,0.0
325,7,92.5,0.0
325,7,93.5,0.0
325,7,94.5,0.0
325,7,95.5,0.0
325,8,92.5,0.0
325,8,93.5,0.0
325,8,94.5,0.0
325,8,95.5,0.0
325,9,92.5,0.0
325,9,93.5,0.0
325,9,94.5,0.0
325,9,95.5,0.0
330,6,92.5,0.0
330,6,93.5,0.0
330,6,94.5,0.0
330,6,95.5,0.0
330,7,92.5,0.0
330,7,93.5,0.0
330,7,94.5,0.0
330,7,95.5,0.0
330,8,92.5,0.0
330,8,93.5,0.0
330,8,94.5,0.0
330,8,95.5,0.0
330,9,92.5,0.0
330,9,93.5,0.0
330,9,94.5,0.0
330,9,95.5,0.0
335,6,92.5,0.0
335,6,93.5,0.0
335,6,94.5,0.0
335,6,95.5,0.0
335,7,92.5,0.0
335,7,93.5,0.0
335,7,94.5,0.0
335,7,95.5,0.0
335,8,92.5,0.0
335,8,93.5,0.0
335,8,94.5,0.0
335,8,95.5,0.0
335,9,92.5,0.0
335,9,93.5,0.0
335,9,94.5,0.0
335,9,95.5,0.0
340,6,92.5,0.0
340,6,93.5,0.0
340,6,94.5,0.0
340,6,95.5,0.0
340,7,92.5,0.0
340,7,93.5,0.0
340,7,94.5,0.0
340,7,95.5,0.0
340,8,92.5,0.0
340,8,93.5,0.0
340,8,94.5,0.0
340,8,95.5,0.0
340,9,92.5,0.0
340,9,93.5,0.0
340,9,94.5,0.0
340,9,95.5,0.0
345,6,92.5,0.0
345,6,93.5,0.0
345,6,94.5,0.0
345,6,95.5,0.0
345,7,92.5,0.0
345,7,93.5,0.0
345,7,94.5,0.0
345,7,95.5,0.0
345,8,92.5,0.0
345,8,93.5,0.0
345,8,94.5,0.0
345,8,95.5,0.0
345,9,92.5,0.0
345,9,93.5,0.0
345,9,94.5,0.0
345,9,95.5,0.0
350,6,92.5,0.0
350,6,93.5,0.0
350,6,94.5,0.0
350,6,95.5,0.0
350,7,92.5,0.0
350,7,93.5,0.0
350,7,94.5,0.0
350,7,95.5,0.0
350,8,92.5,0.0
350,8,93.5,0.0
350,8,94.5,0.0
350,8,95.5,0.0
350,9,92.5,0.0
350,9,93.5,0.0
350,9,94.5,0.0
350,9,95.5,0.0
355,6,92.5,0.0
355,6,93.5,0.0
355,6,94.5,0.0
355,6,95.5,0.0
355,7,92.5,0.0
355,7,93.5,0.0
355,7,94.5,0.0
355,7,95.5,0.0
355,8,92.5,0.0
355,8,93.5,0.0
355,8,94.5,0.0
355,8,95.5,0.0
355,9,92.5,0.0
355,9,93.5,0.0
355,9,94.5,0.0
355,9,95.5,0.0
360,6,92.5,0.0
360,6,93.5,0.0
360,6,94.5,0.0
360,6,95.5,0.0
360,7,92.5,0.0
360,7,93.5,0.0
360,7,94.5,0.0
360,7,95.5,0.0
360,8,92.5,0.0
360,8,93.5,0.0
360,8,94.5,0.0
360,8,95.5,0.0
360,9,92.5,0.0
360,9,93.5,0.0
360,9,94.5,0.0
360,9,95.5,0.0
365,6,92.5,0.0
365,6,93.5,0.0
365,6,94.5,0.0
365,6,95.5,0.0
365,7,92.5,0.0
365,7,93.5,0.0
365,7,94.5,0.0
365,7,95.5,0.0
365,8,92.5,0.0
365,8,93.5,0.0
365,8,94.5,0.0
365,8,95.5,0.0
365,9,92.5,0.0
365,9,93.5,0.0
365,9,94.5,0.0
365,9,95.5,0.0
370,6,92.5,0.0
370,6,93.5,0.0
