Pulse_time,I_e,Tau_Syn_Ex,Result
300,6,77.5,0.0
300,6,78.5,0.0
300,6,79.5,0.0
300,6,80.5,0.0
300,7,77.5,0.0
300,7,78.5,0.0
300,7,79.5,0.0
300,7,80.5,0.0
300,8,77.5,0.0
300,8,78.5,0.0
300,8,79.5,0.0
300,8,80.5,0.0
300,9,77.5,0.0
300,9,78.5,0.0
300,9,79.5,0.0
300,9,80.5,0.0
305,6,77.5,0.0
305,6,78.5,0.0
305,6,79.5,0.0
305,6,80.5,0.0
305,7,77.5,0.0
305,7,78.5,0.0
305,7,79.5,0.0
305,7,80.5,0.0
305,8,77.5,0.0
305,8,78.5,0.0
305,8,79.5,0.0
305,8,80.5,0.0
305,9,77.5,0.0
305,9,78.5,0.0
305,9,79.5,0.0
305,9,80.5,0.0
310,6,77.5,0.0
310,6,78.5,0.0
310,6,79.5,0.0
310,6,80.5,0.0
310,7,77.5,0.0
310,7,78.5,0.0
310,7,79.5,0.0
310,7,80.5,0.0
310,8,77.5,0.0
310,8,78.5,0.0
310,8,79.5,0.0
310,8,80.5,0.0
310,9,77.5,0.0
310,9,78.5,0.0
310,9,79.5,0.0
310,9,80.5,0.0
315,6,77.5,0.0
315,6,78.5,0.0
315,6,79.5,0.0
315,6,80.5,0.0
315,7,77.5,0.0
315,7,78.5,0.0
315,7,79.5,0.0
315,7,80.5,0.0
315,8,77.5,0.0
315,8,78.5,0.0
315,8,79.5,0.0
315,8,80.5,0.0
315,9,77.5,0.0
315,9,78.5,0.0
315,9,79.5,0.0
315,9,80.5,0.0
320,6,77.5,0.0
320,6,78.5,0.0
320,6,79.5,0.0
320,6,80.5,0.0
320,7,77.5,0.0
320,7,78.5,0.0
320,7,79.5,0.0
320,7,80.5,0.0
320,8,77.5,0.0
320,8,78.5,0.0
320,8,79.5,0.0
320,8,80.5,0.0
320,9,77.5,0.0
320,9,78.5,0.0
320,9,79.5,0.0
320,9,80.5,0.0
325,6,77.5,0.0
325,6,78.5,0.0
325,6,79.5,0.0
325,6,80.5,0.0
325,7,77.5,0.0
325,7,78.5,0.0
325,7,79.5,0.0
325,7,80.5,0.0
325,8,77.5,0.0
325,8,78.5,0.0
325,8,79.5,0.0
325,8,80.5,0.0
325,9,77.5,0.0
325,9,78.5,0.0
325,9,79.5,0.0
325,9,80.5,0.0
330,6,77.5,0.0
330,6,78.5,0.0
330,6,79.5,0.0
330,6,80.5,0.0
330,7,77.5,0.0
330,7,78.5,0.0
330,7,79.5,0.0
330,7,80.5,0.0
330,8,77.5,0.0
330,8,78.5,0.0
330,8,79.5,0.0
330,8,80.5,0.0
330,9,77.5,0.0
330,9,78.5,0.0
330,9,79.5,0.0
330,9,80.5,0.0
335,6,77.5,0.0
335,6,78.5,0.0
335,6,79.5,0.0
335,6,80.5,0.0
335,7,77.5,0.0
335,7,78.5,0.0
335,7,79.5,0.0
335,7,80.5,0.0
335,8,77.5,0.0
335,8,78.5,0.0
335,8,79.5,0.0
335,8,80.5,0.0
335,9,77.5,0.0
335,9,78.5,0.0
335,9,79.5,0.0
335,9,80.5,0.0
340,6,77.5,0.0
340,6,78.5,0.0
340,6,79.5,0.0
340,6,80.5,0.0
340,7,77.5,0.0
340,7,78.5,0.0
340,7,79.5,0.0
340,7,80.5,0.0
340,8,77.5,0.0
340,8,78.5,0.0
340,8,79.5,0.0
340,8,80.5,0.0
340,9,77.5,0.0
340,9,78.5,0.0
340,9,79.5,0.0
340,9,80.5,0.0
345,6,77.5,0.0
345,6,78.5,0.0
345,6,79.5,0.0
345,6,80.5,0.0
345,7,77.5,0.0
345,7,78.5,0.0
345,7,79.5,0.0
345,7,80.5,0.0
345,8,77.5,0.0
345,8,78.5,0.0
345,8,79.5,0.0
345,8,80.5,0.0
345,9,77.5,0.0
345,9,78.5,0.0
345,9,79.5,0.0
345,9,80.5,0.0
350,6,77.5,0.0
350,6,78.5,0.0
350,6,79.5,0.0
350,6,80.5,0.0
350,7,77.5,0.0
350,7,78.5,0.0
350,7,79.5,0.0
350,7,80.5,0.0
350,8,77.5,0.0
350,8,78.5,0.0
350,8,79.5,0.0
350,8,80.5,0.0
350,9,77.5,0.0
350,9,78.5,0.0
350,9,79.5,0.0
350,9,80.5,0.0
355,6,77.5,0.0
355,6,78.5,0.0
