Pulse_time,I_e,Tau_Syn_Ex,Result
300,6,70.0,0.0
300,6,71.0,0.0
300,6,72.0,0.0
300,6,73.0,0.0
300,7,70.0,0.0
300,7,71.0,0.0
300,7,72.0,0.0
300,7,73.0,0.0
300,8,70.0,0.0
300,8,71.0,0.0
300,8,72.0,0.0
300,8,73.0,0.0
300,9,70.0,0.0
300,9,71.0,0.0
300,9,72.0,0.0
300,9,73.0,0.0
305,6,70.0,0.0
305,6,71.0,0.0
305,6,72.0,0.0
305,6,73.0,0.0
305,7,70.0,0.0
305,7,71.0,0.0
305,7,72.0,0.0
305,7,73.0,0.0
305,8,70.0,0.0
305,8,71.0,0.0
305,8,72.0,0.0
305,8,73.0,0.0
305,9,70.0,0.0
305,9,71.0,0.0
305,9,72.0,0.0
305,9,73.0,0.0
310,6,70.0,0.0
310,6,71.0,0.0
310,6,72.0,0.0
310,6,73.0,0.0
310,7,70.0,0.0
310,7,71.0,0.0
310,7,72.0,0.0
310,7,73.0,0.0
310,8,70.0,0.0
310,8,71.0,0.0
310,8,72.0,0.0
310,8,73.0,0.0
310,9,70.0,0.0
310,9,71.0,0.0
310,9,72.0,0.0
310,9,73.0,0.0
315,6,70.0,0.0
315,6,71.0,0.0
315,6,72.0,0.0
315,6,73.0,0.0
315,7,70.0,0.0
315,7,71.0,0.0
315,7,72.0,0.0
315,7,73.0,0.0
315,8,70.0,0.0
315,8,71.0,0.0
315,8,72.0,0.0
315,8,73.0,0.0
315,9,70.0,0.0
315,9,71.0,0.0
315,9,72.0,0.0
315,9,73.0,0.0
320,6,70.0,0.0
320,6,71.0,0.0
320,6,72.0,0.0
320,6,73.0,0.0
320,7,70.0,0.0
320,7,71.0,0.0
320,7,72.0,0.0
320,7,73.0,0.0
320,8,70.0,0.0
320,8,71.0,0.0
320,8,72.0,0.0
320,8,73.0,0.0
320,9,70.0,0.0
320,9,71.0,0.0
320,9,72.0,0.0
320,9,73.0,0.0
325,6,70.0,0.0
325,6,71.0,0.0
