Pulse_time,I_e,Tau_Syn_Ex,Result
300,6,88.75,0.0
300,6,89.75,0.0
300,6,90.75,0.0
300,6,91.75,0.0
300,7,88.75,0.0
300,7,89.75,0.0
300,7,90.75,0.0
300,7,91.75,0.0
300,8,88.75,0.0
300,8,89.75,0.0
300,8,90.75,0.0
300,8,91.75,0.0
300,9,88.75,0.0
300,9,89.75,0.0
300,9,90.75,0.0
300,9,91.75,0.0
305,6,88.75,0.0
305,6,89.75,0.0
305,6,90.75,0.0
305,6,91.75,0.0
305,7,88.75,0.0
305,7,89.75,0.0
305,7,90.75,0.0
305,7,91.75,0.0
305,8,88.75,0.0
305,8,89.75,0.0
305,8,90.75,0.0
305,8,91.75,0.0
305,9,88.75,0.0
305,9,89.75,0.0
305,9,90.75,0.0
305,9,91.75,0.0
310,6,88.75,0.0
310,6,89.75,0.0
310,6,90.75,0.0
310,6,91.75,0.0
310,7,88.75,0.0
310,7,89.75,0.0
310,7,90.75,0.0
310,7,91.75,0.0
310,8,88.75,0.0
310,8,89.75,0.0
310,8,90.75,0.0
310,8,91.75,0.0
310,9,88.75,0.0
310,9,89.75,0.0
310,9,90.75,0.0
310,9,91.75,0.0
315,6,88.75,0.0
315,6,89.75,0.0
315,6,90.75,0.0
315,6,91.75,0.0
315,7,88.75,0.0
315,7,89.75,0.0
315,7,90.75,0.0
315,7,91.75,0.0
315,8,88.75,0.0
315,8,89.75,0.0
315,8,90.75,0.0
315,8,91.75,0.0
315,9,88.75,0.0
315,9,89.75,0.0
315,9,90.75,0.0
315,9,91.75,0.0
320,6,88.75,0.0
320,6,89.75,0.0
320,6,90.75,0.0
320,6,91.75,0.0
320,7,88.75,0.0
320,7,89.75,0.0
320,7,90.75,0.0
320,7,91.75,0.0
320,8,88.75,0.0
320,8,89.75,0.0
320,8,90.75,0.0
320,8,91.75,0.0
320,9,88.75,0.0
320,9,89.75,0.0
320,9,90.75,0.0
320,9,91.75,0.0
325,6,88.75,0.0
325,6,89.75,0.0
325,6,90.75,0.0
325,6,91.75,0.0
325,7,88.75,0.0
